                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.031,                 2.4571,                 1.7962,                0.20341,                0.43237,                0.20579,                0.06891,                 2.0389,                 18.542,                 1.9295,             0.00035725,             0.00035725,             0.00035725
                      2,                 1.7572,                 1.8675,                 1.6504,                0.06076,                0.74531,                0.06896,                0.02806,                  1.994,                 106.17,                 2.1888,             0.00072807,             0.00072807,             0.00072807
                      3,                 1.7698,                 1.6327,                 1.6518,                0.32106,                0.64978,                0.48363,                0.18045,                  1.977,                 4.7327,                 2.4688,              0.0010982,              0.0010982,              0.0010982
                      4,                 1.7551,                  1.559,                 1.6285,                0.36685,                0.56259,                0.48075,                0.22621,                 2.0192,                 2.6975,                 2.4638,              0.0014248,              0.0014248,              0.0014248
                      5,                 1.6836,                 1.5196,                 1.5788,                0.27322,                0.73683,                0.27933,                 0.1203,                 1.8471,                 4.5362,                 2.1475,              0.0014233,              0.0014233,              0.0014233
                      6,                 1.6734,                  1.465,                 1.5686,                0.62516,                0.62726,                0.64542,                0.28669,                 1.9711,                 1.7895,                 2.2733,              0.0014219,              0.0014219,              0.0014219
                      7,                 1.6024,                 1.3616,                 1.5142,                0.53027,                0.66435,                0.64661,                0.30006,                 1.8101,                 1.6306,                 2.0802,              0.0014205,              0.0014205,              0.0014205
                      8,                 1.5928,                 1.3526,                 1.5047,                0.59389,                 0.7065,                0.71258,                0.33417,                 1.8469,                  1.416,                 1.9306,              0.0014191,              0.0014191,              0.0014191
                      9,                 1.5412,                 1.2908,                 1.4588,                0.63378,                0.69375,                0.74731,                0.33692,                 1.7836,                   1.61,                 1.9432,              0.0014177,              0.0014177,              0.0014177
                     10,                 1.5083,                   1.33,                 1.4689,                0.65037,                 0.6346,                0.70063,                0.31193,                 1.8008,                 1.6113,                 1.8891,              0.0014163,              0.0014163,              0.0014163
                     11,                 1.5393,                 1.2329,                 1.4559,                0.63749,                0.69351,                0.71408,                0.35074,                 1.8384,                 1.6961,                 1.9555,              0.0014149,              0.0014149,              0.0014149
                     12,                 1.5033,                  1.268,                  1.454,                0.62299,                0.69643,                0.67383,                0.33578,                 1.6614,                 1.5526,                 1.8293,              0.0014134,              0.0014134,              0.0014134
                     13,                 1.4982,                  1.228,                 1.4585,                0.69545,                0.73283,                0.76238,                0.40754,                 1.6607,                 1.2176,                 1.7817,               0.001412,               0.001412,               0.001412
                     14,                 1.4929,                 1.2297,                  1.451,                0.75741,                0.68728,                0.80021,                0.39981,                 1.6266,                 1.2586,                 1.7342,              0.0014106,              0.0014106,              0.0014106
                     15,                 1.4481,                 1.1942,                 1.4074,                0.71664,                0.73518,                0.77641,                0.40986,                 1.5992,                 1.2437,                 1.7147,              0.0014092,              0.0014092,              0.0014092
                     16,                 1.4573,                 1.1853,                  1.421,                0.72186,                0.78394,                0.80583,                0.43321,                 1.5507,                 1.1509,                 1.6312,              0.0014078,              0.0014078,              0.0014078
                     17,                 1.4311,                  1.151,                 1.4122,                0.65112,                0.70254,                0.74072,                0.38372,                 1.6422,                 1.2595,                   1.66,              0.0014064,              0.0014064,              0.0014064
                     18,                 1.3881,                  1.134,                 1.4032,                0.73681,                0.77311,                0.81682,                0.44658,                 1.5092,                 1.2726,                 1.6218,              0.0014049,              0.0014049,              0.0014049
                     19,                 1.3696,                 1.0906,                 1.3594,                 0.6108,                0.78334,                0.77465,                0.42032,                 1.5531,                 1.1825,                 1.6448,              0.0014035,              0.0014035,              0.0014035
                     20,                 1.3874,                 1.1311,                 1.3917,                0.64222,                0.81339,                0.76193,                0.41778,                 1.5714,                 1.2265,                  1.648,              0.0014021,              0.0014021,              0.0014021
                     21,                 1.3677,                 1.0961,                 1.3462,                0.63097,                 0.8654,                0.77282,                0.38878,                 1.6374,                 1.1817,                 1.7088,              0.0014007,              0.0014007,              0.0014007
                     22,                 1.3314,                 1.0936,                  1.345,                0.67047,                0.70165,                0.78512,                0.43657,                 1.5923,                 1.1236,                 1.6596,              0.0013993,              0.0013993,              0.0013993
                     23,                 1.3368,                 1.0582,                 1.3357,                0.73151,                0.72634,                0.79994,                0.41735,                  1.617,                 1.1334,                 1.6516,              0.0013979,              0.0013979,              0.0013979
                     24,                 1.3209,                 1.0583,                 1.3173,                0.70749,                0.76768,                0.79224,                0.45628,                 1.4148,                 1.1623,                 1.5538,              0.0013965,              0.0013965,              0.0013965
                     25,                 1.3223,                  1.043,                  1.337,                0.80046,                0.68088,                0.80673,                0.41435,                 1.6151,                 1.1694,                 1.7085,               0.001395,               0.001395,               0.001395
                     26,                 1.3239,                 1.0813,                 1.3308,                0.73551,                0.82254,                0.83916,                 0.4595,                 1.4955,                  1.102,                 1.5734,              0.0013936,              0.0013936,              0.0013936
                     27,                 1.2951,                 1.0197,                 1.3072,                0.67877,                0.79567,                0.81317,                0.43805,                 1.5509,                 1.0976,                 1.6598,              0.0013922,              0.0013922,              0.0013922
                     28,                 1.2566,                 1.0246,                  1.302,                0.68611,                0.78817,                0.81933,                 0.4645,                 1.4774,                 1.0361,                 1.6294,              0.0013908,              0.0013908,              0.0013908
                     29,                  1.291,                  1.024,                 1.3036,                0.78481,                0.73248,                0.84829,                0.46674,                 1.5251,                 1.0387,                 1.6085,              0.0013894,              0.0013894,              0.0013894
                     30,                 1.2744,                0.98593,                 1.3076,                0.69216,                0.79531,                0.83654,                0.46037,                 1.4699,                 1.1085,                 1.6055,               0.001388,               0.001388,               0.001388
                     31,                  1.245,                 1.0056,                 1.2868,                0.73516,                0.80663,                0.84632,                0.48627,                 1.4573,                  1.063,                 1.5859,              0.0013866,              0.0013866,              0.0013866
                     32,                 1.2499,                0.99484,                 1.2919,                0.71118,                0.71279,                0.81179,                 0.4587,                 1.5229,                 1.0986,                 1.6554,              0.0013851,              0.0013851,              0.0013851
                     33,                 1.2448,                 1.0247,                 1.2998,                0.78673,                0.77508,                0.86767,                0.45848,                 1.5144,                 1.0058,                 1.5865,              0.0013837,              0.0013837,              0.0013837
                     34,                 1.2636,                 1.0113,                 1.2914,                 0.7399,                0.76696,                0.84016,                0.46141,                 1.4904,                 1.0601,                 1.5885,              0.0013823,              0.0013823,              0.0013823
                     35,                 1.2637,                0.98859,                 1.3129,                0.73577,                0.78951,                0.83059,                0.44459,                 1.5136,                 1.0899,                 1.6054,              0.0013809,              0.0013809,              0.0013809
                     36,                 1.1985,                0.92005,                 1.2395,                0.66282,                0.87699,                0.83246,                0.45868,                 1.4281,                 1.0163,                 1.5783,              0.0013795,              0.0013795,              0.0013795
                     37,                  1.221,                0.96069,                 1.2622,                0.67403,                0.86174,                0.81993,                 0.4482,                 1.5184,                 1.0024,                 1.5765,              0.0013781,              0.0013781,              0.0013781
                     38,                 1.1947,                0.93615,                 1.2519,                0.76295,                0.81365,                0.84826,                0.48423,                 1.5157,                 1.0059,                 1.5769,              0.0013767,              0.0013767,              0.0013767
                     39,                  1.235,                0.97215,                 1.2949,                 0.7245,                0.81674,                 0.8366,                0.47762,                 1.5192,                0.96729,                 1.5798,              0.0013752,              0.0013752,              0.0013752
                     40,                 1.2113,                0.96826,                 1.2749,                0.78583,                0.79257,                0.85356,                0.49327,                 1.4112,                0.96057,                 1.4952,              0.0013738,              0.0013738,              0.0013738
                     41,                  1.231,                0.93321,                 1.2897,                0.76373,                0.83036,                0.85239,                0.47572,                 1.5022,                0.98056,                 1.6228,              0.0013724,              0.0013724,              0.0013724
                     42,                 1.2075,                0.93127,                 1.2699,                0.69192,                0.84999,                0.84254,                0.49165,                 1.4748,                0.97753,                 1.5355,               0.001371,               0.001371,               0.001371
                     43,                 1.2531,                 0.9684,                 1.2897,                0.73966,                0.77299,                0.83966,                0.47119,                 1.4718,                 1.0147,                 1.5772,              0.0013696,              0.0013696,              0.0013696
                     44,                 1.2221,                0.94432,                 1.2633,                0.72803,                0.89531,                0.86307,                0.50151,                  1.455,                0.91675,                 1.5692,              0.0013682,              0.0013682,              0.0013682
                     45,                 1.2012,                0.90301,                 1.2428,                0.75982,                 0.8817,                0.88465,                0.49696,                 1.4265,                0.92087,                 1.5355,              0.0013668,              0.0013668,              0.0013668
                     46,                 1.1964,                0.93439,                 1.2829,                0.76135,                0.81339,                0.84501,                0.48376,                 1.4471,                0.92528,                 1.5218,              0.0013653,              0.0013653,              0.0013653
                     47,                 1.1714,                0.87599,                 1.2375,                0.73446,                0.86848,                0.85145,                0.47661,                 1.5509,                 1.0087,                 1.6206,              0.0013639,              0.0013639,              0.0013639
                     48,                 1.1819,                 0.9076,                 1.2415,                0.68873,                0.89018,                0.87531,                0.49883,                 1.4472,                0.95779,                 1.5627,              0.0013625,              0.0013625,              0.0013625
                     49,                 1.1697,                0.92276,                 1.2569,                0.76933,                0.88817,                0.87222,                 0.4937,                 1.4649,                0.94725,                 1.5977,              0.0013611,              0.0013611,              0.0013611
                     50,                 1.1868,                0.89257,                 1.2622,                0.74452,                0.81339,                0.84236,                0.47325,                 1.5008,                0.92745,                 1.5692,              0.0013597,              0.0013597,              0.0013597
                     51,                 1.1769,                0.90729,                 1.2459,                0.74005,                0.85334,                0.84466,                 0.4812,                 1.5325,                 0.9402,                 1.6152,              0.0013583,              0.0013583,              0.0013583
                     52,                  1.176,                0.90423,                 1.2405,                0.70873,                0.83549,                0.82643,                0.47743,                 1.4474,                0.94989,                 1.5789,              0.0013568,              0.0013568,              0.0013568
                     53,                 1.1896,                0.89901,                 1.2439,                0.74102,                0.80923,                0.85463,                 0.4916,                 1.4148,                0.95366,                 1.5192,              0.0013554,              0.0013554,              0.0013554
                     54,                 1.1532,                0.88609,                 1.2337,                 0.7308,                0.82526,                0.83716,                0.48024,                 1.4815,                0.97734,                 1.5257,               0.001354,               0.001354,               0.001354
